Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,2006-01-08,Celta,R. Sociedad,1,0,H,1,0,H,15,5,3,1,20,14,2,1,1,1,0,0,1.9,3.25,4.0
SP1,2006-01-08,Mallorca,Real Betis,1,1,D,1,1,D,10,9,7,5,17,20,4,7,1,3,0,0,2.3,3.2,3.0
SP1,2006-01-08,Osasuna,Racing,1,1,D,1,1,D,17,6,3,1,21,21,3,1,2,2,0,0,1.61,3.4,6.0
SP1,2006-01-08,Sevilla,Málaga,3,1,H,1,0,H,19,8,7,3,19,19,10,2,6,2,0,1,1.7,3.5,5.0
SP1,2006-01-08,Villarreal,Real Madrid,0,0,D,0,0,D,15,14,5,3,15,19,3,5,3,3,0,0,2.5,3.2,2.75
SP1,2006-01-14,Real Betis,Atlético,1,0,H,1,0,H,11,15,6,3,23,23,5,4,2,2,0,0,2.2,3.25,3.2
SP1,2006-01-14,Valencia,Osasuna,2,0,H,1,0,H,15,12,4,5,13,21,8,8,3,1,0,0,1.72,3.4,5.0
SP1,2006-01-15,Barcelona,Athletic,2,1,H,1,1,D,16,8,9,2,18,24,7,5,2,4,1,0,1.16,6.5,15.0
SP1,2006-01-15,Getafe,Celta,1,1,D,1,0,H,24,12,6,3,23,22,9,4,1,2,0,0,2.2,3.25,3.2
SP1,2006-01-15,RC Deportivo,Alavés,0,2,A,0,1,A,28,12,6,5,21,25,9,1,1,2,0,0,1.44,4.0,7.5
SP1,2006-01-15,Málaga,Cádiz,0,2,A,0,2,A,5,6,1,2,14,13,2,2,5,1,1,0,1.9,3.3,4.0
SP1,2006-01-15,Real Madrid,Sevilla,4,2,H,1,0,H,25,17,8,5,18,18,3,7,1,1,0,0,1.61,3.6,5.5
SP1,2006-01-15,Racing,Villarreal,1,0,H,1,0,H,8,21,4,6,22,15,1,5,3,4,2,1,3.0,3.2,2.3
SP1,2006-01-15,R. Sociedad,Espanyol,0,1,A,0,0,D,14,12,2,5,22,20,6,2,3,2,0,1,2.0,3.3,3.6
